"id","offer_name","click_url","app_id"
"100000199","1xbet_0715-UA-CPA-aos-MY-bidroid","https://app.appsflyer.com/org.xbet.client1-Custom?pid=aquamandr_int&af_siteid={aff}&c=d_4151347m_27409c_MY__[]general[]_d158123_l198601_banner_DoleMobi&tag=d_4151347m_27409c_MY__[]general[]_d158123_l198601_banner_DoleMobi&af_click_lookback=7d&clickid={transaction_id}&advertising_id={gaid}&android_id={android_id}&idfa={idfa}&idfv={idfv}&af_prt=bidroidagency2 https://app.appsflyer.com/org.xbet.client1-Custom?pid=aquamandr_int&af_siteid={aff}&c=d_4151347m_27409c_MY__[]general[]_d158123_l198601_banner_DoleMobi&tag=d_4151347m_27409c_MY__[]general[]_d158123_l198601_banner_DoleMobi&af_click_lookback=7d&clickid={transaction_id}&advertising_id={gaid}&android_id={android_id}&idfa={idfa}&idfv={idfv}&af_prt=bidroidagency2","org.xbet.client1-Custom"
"100000200","1xbet_0715-UA-CPA-aos-IN-bidroid","https://app.appsflyer.com/org.xbet.client1-Custom?pid=aquamandr_int&af_siteid={aff}&c= d_4151347m_27409c_IN__[]general[]_d158123_l190531_banner_Dolemobi&tag= d_4151347m_27409c_IN__[]general[]_d158123_l190531_banner_Dolemobi&af_click_lookback=7d&clickid={transaction_id}&advertising_id={gaid}&android_id={android_id}&idfa={idfa}&idfv={idfv}&af_prt=bidroidagency2","org.xbet.client1"
"100000201","1xbet_0715-UA-CPA-aos-PK-bidroid","https://app.appsflyer.com/org.xbet.client1-Custom?pid=aquamandr_int&af_siteid={aff}&c=d_4151347m_27409c_PK__[]general[]_d158123_l188058_banner_Dolemobi&tag=d_4151347m_27409c_PK__[]general[]_d158123_l188058_banner_Dolemobi&af_click_lookback=7d&clickid={transaction_id}&advertising_id={gaid}&android_id={android_id}&idfa={idfa}&idfv={idfv}&af_prt=bidroidagency2","org.xbet.client1"
"100000221","10CRIC-UA-CPA-aos-IN-leanmobi","https://10cric.go.link/?utm_source=cx-35313_376754&utm_medium=affiliate&utm_campaign=apk2&adj_t=1pimo6fe&adj_redirect=https%3A%2F%2F10cricclub.com%2Fmedia%2Fbuild%2F10CRIC%2Fandroid%2Fapp_latest.apk%3Futm_source%3Dcx-35313_376754&utm_medium=affiliate&utm_campaign=apk2&adj_adgroup=329_{aff}&adj_c=LIN&adj_os_name={os}&adj_click_id={transaction_id}&adj_android_id={android_id}&adj_idfv={idfv}&adj_idfa={idfa}&adj_gps_adid={gaid}&adj_ip_address={ip}&adj_rejected_install_callback=http%3A%2F%2F{adjust_domain}%2Fpb%2Flsr%3Ftransaction_id%3D{transaction_id}%26idfa%3D{c_idfa}%26gaid%3D{c_gaid}%26is_rejected%3D1%26block_reason%3D{rejection_reason}%26block_sub_reason%3Dpa&adj_install_callback=http%3A%2F%2F{adjust_domain}%2Fpb%2Flsr%3Ftransaction_id%3D{transaction_id}%26idfa%3D{c_idfa}%26gaid%3D{c_gaid}&adj_event_callback_wbvo7r=http%3A%2F%2F{adjust_domain}%2Fpb%2Fevent_notify%3Ftransaction_id%3D{transaction_id}%26idfa%3D{c_idfa}%26gaid%3D{c_gaid}%26event_name%3Dwbvo7r&adj_event_callback_cvjf64=http%3A%2F%2F{adjust_domain}%2Fpb%2Fevent_notify%3Ftransaction_id%3D{transaction_id}%26idfa%3D{c_idfa}%26gaid%3D{c_gaid}%26event_name%3Dcvjf64","10cric"
"100000240","Evest-UA-CPA-ios-SA-vm","https://evest.onelink.me/o6qP?pid=gyingmi_int&af_siteid={af_siteid}&c={campaign_name}&af_sub_siteid={af_sub_siteid}&af_c_id={af_c_id}&af_adset={af_adset}&af_ad={af_ad}&af_channel={af_channel}&af_ad_type={af_ad_type}&utm_source=mobile_agency&chan=Virgilmedia&utm_campaign=VM_hdl&placement=banner&crtv={creative_name}&af_click_lookback=7d&af_ip={ip}&af_ua={ua}&clickid={transaction_id}&advertising_id={gaid}&android_id={android_id}&idfa={idfa}&idfv={idfv}&is_incentivized=false&af_prt=virgilmedia&affiliate_id=40306%7Ccampaign_id%3D136212%7Cpartner_id%3Dc1a486dd6c8f128d0be36f669aa221fe&tls=yes","1560191184"
"100000242","MultiBank.io-UA-CPI-aos-AE-dolemobi","https://app.adjust.com/1qtks5ul?campaign=WM_MBG&adgroup=IAZ&creative=IAZ_1241","com.multibank.app"
"100000266","SNACC-UA-CPA-aos-IN-dolemobi-0723","https://app.appsflyer.com/in.swiggy.android.pop?pid=pictoomedmp_int&af_siteid={aff}&c=perf_snacc_nu_collectcent_pictoomedmp_int&af_click_lookback=7d&clickid={transaction_id}&advertising_id={gaid}&android_id={android_id}&idfa={idfa}&idfv={idfv}&af_prt=collectcentagency","in.swiggy.android.pop"
"100000276","Fair Money_0724-UA-CPA-aos-NG-lead","https://app.adjust.com/1q4q9cua?campaign=ADM&adgroup=ADL1&creative=40_VSL_2000%7Bcreative_id%7D&os_name={os}&click_id={transaction_id}&android_id={android_id}&idfv={idfv}&idfa={idfa}&gps_adid={gaid}&ip_address={ip}&rejected_install_callback=http%3A%2F%2F{adjust_domain}%2Fpb%2Flsr%3Ftransaction_id%3D{transaction_id}%26idfa%3D{c_idfa}%26gaid%3D{c_gaid}%26is_rejected%3D1%26block_reason%3D{rejection_reason}%26block_sub_reason%3Dpa&install_callback=http%3A%2F%2F{adjust_domain}%2Fpb%2Flsr%3Ftransaction_id%3D{transaction_id}%26idfa%3D{c_idfa}%26gaid%3D{c_gaid}&event_callback_wbvo7r=http%3A%2F%2F{adjust_domain}%2Fpb%2Fevent_notify%3Ftransaction_id%3D{transaction_id}%26idfa%3D{c_idfa}%26gaid%3D{c_gaid}%26event_name%3Dwbvo7r&event_callback_6s3jtj=http%3A%2F%2F{adjust_domain}%2Fpb%2Fevent_notify%3Ftransaction_id%3D{transaction_id}%26idfa%3D{c_idfa}%26gaid%3D{c_gaid}%26event_name%3D6s3jtj","ng.com.fairmoney.fairmoney"
"100000277","Gate.io-UA-CPA-aos-CN-gate.io-0724","https://impressions.onelink.me/dEaj?pid=adbridgeld_int&af_siteid={aff}&c=2xDkakLI&af_sub_siteid={affiliate_sub_id}&af_c_id={offer_id}&is_retargeting=true&af_dp=gatelink%3A%2F%2Fcom.gateio.app&af_reengagement_window=30d&af_inactivity_window=7d&af_viewthrough_lookback=24h&clickid={transaction_id}&advertising_id={gaid}&android_id={android_id}&idfa={idfa}&idfv={idfv}&af_prt=xygamecn681&af_xplatform=true&af_xplatform_vt_lookback=72h","com.gateio.gateio"
"100000282","Gate.io-UA-CPA-aos-PK-gate.io","https://impressions.onelink.me/dEaj?pid=adbridgeld_int&af_siteid={aff}&c=2xDkakLI&af_sub_siteid={affiliate_sub_id}&af_c_id={offer_id}&is_retargeting=true&af_dp=gatelink%3A%2F%2Fcom.gateio.app&af_reengagement_window=30d&af_inactivity_window=7d&af_viewthrough_lookback=24h&clickid={transaction_id}&advertising_id={gaid}&android_id={android_id}&idfa={idfa}&idfv={idfv}&af_prt=xygamecn681&af_xplatform=true&af_xplatform_vt_lookback=72h","com.gateio.gateio"
